,score,image
0,4,image_00006.png
1,4,image_00013.png
2,6,image_00021.png
3,0,image_00028.png
4,10,image_00036.png
5,4,image_00043.png
6,2,image_00051.png
7,4,image_00058.png
8,8,image_00066.png
9,8,image_00073.png
10,6,image_00081.png
11,6,image_00088.png
12,14,image_00096.png
13,4,image_00103.png
14,4,image_00111.png
15,8,image_00118.png
16,10,image_00126.png
17,6,image_00133.png
18,8,image_00141.png
19,2,image_00148.png
20,6,image_00156.png
21,6,image_00163.png
22,8,image_00171.png
23,12,image_00178.png
24,6,image_00186.png
25,6,image_00193.png
26,10,image_00201.png
27,10,image_00208.png
28,12,image_00216.png
29,14,image_00223.png
30,8,image_00231.png
31,6,image_00238.png
32,8,image_00246.png
33,8,image_00253.png
34,10,image_00261.png
35,6,image_00268.png
36,8,image_00276.png
37,8,image_00283.png
38,8,image_00291.png
39,6,image_00298.png
40,8,image_00306.png
41,6,image_00313.png
42,8,image_00321.png
43,10,image_00328.png
44,6,image_00336.png
45,12,image_00343.png
46,4,image_00351.png
47,12,image_00358.png
48,4,image_00366.png
49,12,image_00373.png
50,8,image_00381.png
51,8,image_00388.png
52,4,image_00396.png
53,4,image_00403.png
54,12,image_00411.png
55,8,image_00418.png
56,8,image_00426.png
57,4,image_00433.png
58,6,image_00441.png
59,4,image_00448.png
60,8,image_00456.png
61,6,image_00463.png
62,2,image_00471.png
63,4,image_00478.png
64,4,image_00486.png
65,2,image_00493.png
66,4,image_00501.png
67,6,image_00508.png
68,4,image_00516.png
69,4,image_00523.png
70,4,image_00531.png
71,6,image_00538.png
72,6,image_00546.png
73,6,image_00553.png
74,8,image_00561.png
75,4,image_00568.png
76,2,image_00576.png
77,4,image_00583.png
78,6,image_00591.png
79,0,image_00598.png
80,6,image_00606.png
81,6,image_00613.png
82,4,image_00621.png
83,4,image_00628.png
84,6,image_00636.png
85,2,image_00643.png
86,2,image_00651.png
87,4,image_00658.png
88,6,image_00666.png
89,6,image_00673.png
90,2,image_00681.png
91,2,image_00688.png
92,2,image_00696.png
93,4,image_00703.png
94,8,image_00711.png
95,6,image_00718.png
96,6,image_00726.png
97,10,image_00733.png
98,2,image_00741.png
99,8,image_00748.png
100,2,image_00756.png
101,0,image_00763.png
102,2,image_00771.png
103,4,image_00778.png
104,4,image_00786.png
105,6,image_00793.png
106,6,image_00801.png
107,4,image_00808.png
108,10,image_00816.png
109,6,image_00823.png
110,4,image_00831.png
111,6,image_00838.png
112,6,image_00846.png
113,6,image_00853.png
114,6,image_00861.png
115,8,image_00868.png
116,8,image_00876.png
117,4,image_00883.png
118,10,image_00891.png
119,12,image_00898.png
120,26,image_00906.png
121,8,image_00913.png
122,6,image_00921.png
123,8,image_00928.png
124,4,image_00936.png
125,8,image_00943.png
126,6,image_00951.png
127,2,image_00958.png
128,2,image_00966.png
129,6,image_00973.png
130,4,image_00981.png
131,4,image_00988.png
132,4,image_00996.png
